station_id yyyymmddhh TX01 PP01
C0A860 2025073002 27.6 0.0
C0A860 2025073003 27.3 0.0
C0A860 2025073004 26.8 0.0
C0A860 2025073005 27.5 0.0
C0A860 2025073006 26.8 0.0
C0A860 2025073007 27.0 0.0
C0A860 2025073008 26.8 0.0
C0A860 2025073009 28.2 0.0
C0A860 2025073010 29.0 0.0
C0A860 2025073011 30.3 0.0
C0A860 2025073012 30.8 0.0
C0A860 2025073013 31.4 0.0
C0A860 2025073014 NaN 0.0
C0A860 2025073015 30.1 0.0
C0A860 2025073016 31.3 0.0
C0A860 2025073017 30.1 0.0
C0A860 2025073018 NaN 0.0
C0A860 2025073019 26.8 0.0
C0A860 2025073020 28.6 0.0
C0A860 2025073021 28.5 0.0
C0A860 2025073022 25.8 0.0
C0A860 2025073023 25.6 0.0
C0A860 2025073024 26.9 0.0
C0A870 2025073001 24.8 0.0
C0A870 2025073002 24.5 0.0
C0A870 2025073003 24.2 NaN
C0A870 2025073004 NaN 0.0
C0A870 2025073005 NaN 0.0
C0A870 2025073006 NaN 0.0
C0A870 2025073007 23.4 0.0
C0A870 2025073008 NaN NaN
C0A870 2025073009 NaN NaN
C0A870 2025073010 NaN NaN
C0A870 2025073011 29.4 0.0
C0A870 2025073012 NaN 0.0
C0A870 2025073013 NaN 0.0
C0A870 2025073014 NaN NaN
C0A870 2025073015 29.1 0.0
C0A870 2025073016 NaN 0.0
C0A870 2025073017 28.9 0.0
C0A870 2025073018 28.7 0.0
C0A870 2025073019 27.8 0.0
C0A870 2025073020 27.7 0.0
C0A870 2025073021 27.5 0.0
C0A870 2025073022 27.3 0.0
C0A870 2025073023 26.9 0.0
C0A870 2025073024 26.2 0.0
C0A890 2025073001 26.4 0.0
C0A890 2025073002 26.4 0.0
C0A890 2025073003 26.2 0.0
C0A890 2025073004 26.0 0.0
C0A890 2025073005 25.7 0.0
C0A890 2025073006 25.7 0.0
C0A890 2025073007 27.0 0.0
C0A890 2025073008 29.2 0.0
C0A890 2025073009 31.2 0.0
C0A890 2025073010 33.2 0.0
C0A890 2025073011 34.7 0.0
C0A890 2025073012 35.2 NaN
C0A890 2025073013 36.2 NaN
C0A890 2025073014 34.4 0.0
C0A890 2025073015 35.1 0.0
C0A890 2025073016 34.0 0.0
C0A890 2025073017 32.3 0.0
C0A890 2025073018 31.4 0.0
C0A890 2025073019 30.2 0.0
C0A890 2025073020 29.6 0.0
C0A890 2025073021 29.1 0.0
C0A890 2025073022 29.2 0.0
C0A890 2025073023 NaN 0.0
C0A890 2025073024 28.7 0.0
C0A931 2025073001 29.6 0.0
C0A931 2025073002 29.7 0.0
C0A931 2025073003 29.1 0.0
C0A931 2025073004 29.0 0.0
C0A931 2025073005 29.6 0.0
C0A931 2025073006 29.2 0.0
C0A931 2025073007 29.5 0.0
C0A931 2025073008 29.1 0.0
C0A931 2025073009 30.5 0.0
C0A931 2025073010 29.8 0.0
C0A931 2025073011 31.1 NaN
C0A931 2025073012 32.2 0.0
C0A931 2025073013 31.4 0.0
C0A931 2025073014 30.9 0.0
C0A931 2025073015 31.5 0.0
C0A931 2025073016 29.5 0.0
C0A931 2025073017 29.8 0.0
C0A931 2025073018 29.6 0.0
C0A931 2025073019 28.8 0.0
C0A931 2025073020 27.7 0.0
C0A931 2025073021 27.8 0.0
C0A931 2025073022 27.9 0.0
C0A931 2025073023 27.5 0.0
C0A931 2025073024 27.3 0.0
C0A940 2025073001 29.5 0.0
C0A940 2025073002 29.7 0.0
C0A940 2025073003 29.4 0.0
C0A940 2025073004 29.1 0.0
C0A940 2025073005 29.7 0.0
